pr_sq_ft,fsid,saleyear,x,y
202.784503631961,240472092622,2005,-75.116455857477,38.3196737880126
202.784503631961,240472092622,2005,-75.116455857477,38.3196737880126
174.198849630238,240472092623,2006,-75.1410903236889,38.3747473876065
174.198849630238,240472092623,2006,-75.1410903236889,38.3747473876065
288.421920065925,240472092628,2010,-75.1884616706288,38.4203974016052
288.421920065925,240472092628,2010,-75.1884616706288,38.4203974016052
177.514792899408,240472092632,2008,-75.1479503166416,38.3686255568764
159.722222222222,240472092636,2013,-75.1027962323985,38.3430354659435
159.722222222222,240472092636,2013,-75.1027962323985,38.3430354659435
184.490740740741,240472092636,2016,-75.1027962323985,38.3430354659435
101.825842696629,240472092639,2012,-75.1458793098302,38.3708845216718
101.825842696629,240472092639,2012,-75.1458793098302,38.3708845216718
116.426756985605,240472092640,2008,-75.221156049998,38.3238569979952
240.17734375,240472092644,2008,-75.2224003552508,38.318677180568
191.40625,240472092644,2008,-75.2224003552508,38.318677180568
191.40625,240472092644,2008,-75.2224003552508,38.318677180568
113.705275924803,240472092645,2011,-75.1090246560091,38.3474126045206
178.571428571429,240472092651,2006,-75.315743137298,38.3224391381369
238.095238095238,240472092651,2016,-75.315743137298,38.3224391381369
178.571428571429,240472092651,2005,-75.315743137298,38.3224391381369
81.8234950321449,240472092654,2014,-75.3879288568399,38.0959923088391
84.0571588680303,240472092656,2010,-75.133914532676,38.3405619720747
51.8352479686187,240472092656,2007,-75.133914532676,38.3405619720747
98.0666853460353,240472092656,2009,-75.133914532676,38.3405619720747
84.0571588680303,240472092656,2010,-75.133914532676,38.3405619720747
226.465364120782,240472092658,2006,-75.4552435499188,38.0709579630389
202.042628774423,240472092658,2018,-75.4552435499188,38.0709579630389
226.465364120782,240472092658,2006,-75.4552435499188,38.0709579630389
127.880184331797,240472092662,2015,-75.3125739065389,38.3790832237976
53.7634408602151,240472092662,2006,-75.3125739065389,38.3790832237976
117.127496159754,240472092662,2014,-75.3125739065389,38.3790832237976
117.127496159754,240472092662,2013,-75.3125739065389,38.3790832237976
32.4038297872341,240472092665,2006,-75.1160635793182,38.3488391089288
32.4038297872341,240472092665,2006,-75.1160635793182,38.3488391089288
88.0281690140845,240472092666,2012,-75.2121627561439,38.3198802311157
88.0281690140845,240472092666,2012,-75.2121627561439,38.3198802311157
164.007092198582,240472092670,2016,-75.2051293850584,38.3631207954467
11.8366982311953,240472092673,2005,-75.5679234002105,38.0754593948659
92.3913043478261,240472092684,2016,-75.3905666799664,38.1678924340663
99.3788819875776,240472092684,2005,-75.3905666799664,38.1678924340663
151.178301467319,240472092686,2013,-75.1588797054423,38.3891735448645
151.178301467319,240472092686,2013,-75.1588797054423,38.3891735448645
202.922077922078,240472092689,2015,-75.1420164234942,38.3935530648549
221.08843537415,240472092691,2006,-75.1605592886553,38.3665643335891
221.08843537415,240472092691,2006,-75.1605592886553,38.3665643335891
164.299802761341,240472092696,2014,-75.1776453776023,38.3881323636341
26.2984878369494,240472092696,2012,-75.1776453776023,38.3881323636341
162.127107652399,240472092698,2015,-75.1580820728388,38.397737332787
158.884565499351,240472092698,2011,-75.1580820728388,38.397737332787
196.524390243902,240472092703,2005,-75.1574663676043,38.3771131420131
75,240472092705,2007,-75.2906795420141,38.2504825801469
75,240472092705,2007,-75.2906795420141,38.2504825801469
64.1791044776119,240472092709,2010,-75.3914635485473,38.1785990800339
51.1194029850746,240472092709,2007,-75.3914635485473,38.1785990800339
51.1194029850746,240472092709,2007,-75.3914635485473,38.1785990800339
64.1791044776119,240472092709,2010,-75.3914635485473,38.1785990800339
168.970814132104,240472092723,2012,-75.1479359801757,38.3651255398256
168.970814132104,240472092723,2012,-75.1479359801757,38.3651255398256
129.87012987013,240472092725,2009,-75.1514353738897,38.3821976142108
247.549019607843,240472092726,2013,-75.1368147988966,38.2940562132247
247.549019607843,240472092726,2013,-75.1368147988966,38.2940562132247
200.892857142857,240472092729,2006,-75.1744863200688,38.3931445297238
157.738095238095,240472092729,2010,-75.1744863200688,38.3931445297238
156.552132701422,240472092732,2005,-75.1556121725838,38.3700316459456
87.5467243753689,240472092735,2014,-75.1245573676579,38.3785889745479
